"Date","Category","Average_Employed"
1978,"Female",2155.14429845455
1978,"Male",3883.11145036364
1978,"Total",6038.25574845455
1979,"Female",2178.25251291667
1979,"Male",3932.37106041667
1979,"Total",6110.62357291667
1980,"Female",2286.52190275
1980,"Male",3997.74815916667
1980,"Total",6284.27006191667
1981,"Female",2343.379742
1981,"Male",4073.07738258333
1981,"Total",6416.45712458333
1982,"Female",2357.34183141667
1982,"Male",4057.54994158333
1982,"Total",6414.89177291667
1983,"Female",2353.52311525
1983,"Male",3946.84719716667
1983,"Total",6300.3703125
1984,"Female",2451.48369775
1984,"Male",4042.36971216667
1984,"Total",6493.85340966667
1985,"Female",2571.05277433333
1985,"Male",4126.37203708333
1985,"Total",6697.42481183333
1986,"Female",2740.22469175
1986,"Male",4234.26454966667
1986,"Total",6974.48924108333
1987,"Female",2837.74539891667
1987,"Male",4290.98939191667
1987,"Total",7128.73479083333
1988,"Female",2974.83230775
1988,"Male",4423.40961958333
1988,"Total",7398.2419275
1989,"Female",3153.75222058333
1989,"Male",4566.017162
1989,"Total",7719.76938241667
1990,"Female",3258.59291275
1990,"Male",4600.2244185
1990,"Total",7858.81733108333
1991,"Female",3221.01493725
1991,"Male",4449.52043508333
1991,"Total",7670.5353725
1992,"Female",3232.1360485
1992,"Male",4402.27958533333
1992,"Total",7634.41563391667
1993,"Female",3250.10259216667
1993,"Male",4403.29225191667
1993,"Total",7653.39484408333
1994,"Female",3367.05360375
1994,"Male",4532.23076808333
1994,"Total",7899.2843715
1995,"Female",3523.50848458333
1995,"Male",4665.30364341667
1995,"Total",8188.81212783333
1996,"Female",3583.07224175
1996,"Male",4715.81790658333
1996,"Total",8298.89014833333
1997,"Female",3624.53492391667
1997,"Male",4742.122816
1997,"Total",8366.65774008333
1998,"Female",3704.8457815
1998,"Male",4812.578301
1998,"Total",8517.42408241667
1999,"Female",3781.77493725
1999,"Male",4890.83962541667
1999,"Total",8672.61456275
2000,"Female",3923.34181116667
2000,"Male",4978.39065133333
2000,"Total",8901.73246233333
2001,"Female",4006.59368141667
2001,"Male",5008.42094016667
2001,"Total",9015.01462141667
2002,"Female",4088.6781675
2002,"Male",5101.58805741667
2002,"Total",9190.26622458333
2003,"Female",4204.09549633333
2003,"Male",5192.44113883333
2003,"Total",9396.53663525
2004,"Female",4261.67981225
2004,"Male",5296.68118333333
2004,"Total",9558.36099566667
2005,"Female",4437.33619316667
2005,"Male",5443.29732541667
2005,"Total",9880.63351841667
2006,"Female",4564.70433466667
2006,"Male",5559.52351391667
2006,"Total",10124.227849
2007,"Female",4701.81914491667
2007,"Male",5732.44976716667
2007,"Total",10434.2689116667
2008,"Female",4850.723444
2008,"Male",5880.44665941667
2008,"Total",10731.1701041667
2009,"Female",4926.39064833333
2009,"Male",5879.18558841667
2009,"Total",10805.5762366667
2010,"Female",5000.83418133333
2010,"Male",6021.40920075
2010,"Total",11022.2433816667
2011,"Female",5105.94567591667
2011,"Male",6107.87049358333
2011,"Total",11213.8161708333
2012,"Female",5187.24922233333
2012,"Male",6163.55316558333
2012,"Total",11350.8023891667
2013,"Female",5256.07437358333
2013,"Male",6200.63481075
2013,"Total",11456.709185
2014,"Female",5308.23847458333
2014,"Male",6231.9232
2014,"Total",11540.1616725
2015,"Female",5439.18294941667
2015,"Male",6327.08516541667
2015,"Total",11766.2681141667
2016,"Female",5567.84748983333
2016,"Male",6397.93163708333
2016,"Total",11965.7791266667
2017,"Female",5720.05083383333
2017,"Male",6499.26311441667
2017,"Total",12219.3139491667
2018,"Female",5888.47560533333
2018,"Male",6649.58597141667
2018,"Total",12538.0615775
2019,"Female",6043.39975408333
2019,"Male",6787.00393266667
2019,"Total",12830.4036866667
2020,"Female",5954.21288608333
2020,"Male",6649.78409
2020,"Total",12603.9969766667
2021,"Female",6157.13165833333
2021,"Male",6829.16165283333
2021,"Total",12986.2933116667
2022,"Female",6476.94215966667
2022,"Male",7090.41964258333
2022,"Total",13567.3618033333
2023,"Female",6702.64162033333
2023,"Male",7323.04348058333
2023,"Total",14025.6851
2024,"Female",6844.946067125
2024,"Male",7459.376965625
2024,"Total",14304.32303375
